"regulation_statement","validation_task","reg_id","reg_text","stmt_id","stmt_text","reg_subject","reg_action","task_id","task_description","task_subject","task_action","maping_id","subject_score","action_score","matched",
"Eudralex_5.26_1: 
Starting materials should only be purchased from approved suppliers named in the relevant specification and, where possible, directly from the producer.","AcidPurchaseTask101: 
(hasPatient =  Salicylic_Acid)
 (hasAction =  Purchasing_1)","Eudralex_5.26","Starting materials should only be purchased from approved suppliers named in the relevant specification and, where possible, directly from the producer. It is recommended that the specifications established by the manufacturer for the starting materials be discussed with the suppliers. It is of benefit that all aspects of the production and control of the starting material in question, including handling, labelling and packaging requirements, as well as complaints and rejection procedures are discussed with the manufacturer and the supplier.","Eudralex_5.26_1","Starting materials should only be purchased from approved suppliers named in the relevant specification and, where possible, directly from the producer.","materials","purchased","AcidPurchaseTask101","(hasPatient =  Salicylic_Acid)
 (hasAction =  Purchasing_1)","salicylic,acid,starting,material,substance","purchasing","mid_1","1.0","1.0","false",
"Eudralex_5.39_1: 
Any significant deviation from the expected yield should be recorded and investigate","DeviationRecordTask101: 
(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","Eudralex_5.39","Any significant deviation from the expected yield should be recorded and investigated","Eudralex_5.39_1","Any significant deviation from the expected yield should be recorded and investigate","significant,deviation,yield","recorded","DeviationRecordTask101","(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","deviation,iregular,incidence","recording","mid_2","1.0","1.0","false",
"Eudralex_5.39_1: 
Any significant deviation from the expected yield should be recorded and investigate","ReportingTask_101: 
(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","Eudralex_5.39","Any significant deviation from the expected yield should be recorded and investigated","Eudralex_5.39_1","Any significant deviation from the expected yield should be recorded and investigate","significant,deviation,yield","recorded","ReportingTask_101","(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","deviation,iregular,incidence","reporting","mid_3","1.0","0.563","false",
"Eudralex_5.39_1: 
Any significant deviation from the expected yield should be recorded and investigate","WritingTask_101: 
(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","Eudralex_5.39","Any significant deviation from the expected yield should be recorded and investigated","Eudralex_5.39_1","Any significant deviation from the expected yield should be recorded and investigate","significant,deviation,yield","recorded","WritingTask_101","(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","yield,deviation,report","writing","mid_4","1.0","0.951","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","LablelDisplayTask101: 
(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","LablelDisplayTask101","(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","aspirin,pakage,name,material,label","displaying","mid_5","1.0","0.283","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","AllowingTask_101: 
(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","AllowingTask_101","(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","material,testing,procedure,written","allowing","mid_6","1.0","0.423","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","ReturningTask_101: 
(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","ReturningTask_101","(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","salicylic,acid,starting,material,substance","returning","mid_7","1.0","0.799","false",
"Eudralex_5.46_1: 
The name and batch number of the product being handled should be displayed at each packaging station or line.","LablelDisplayTask101: 
(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","Eudralex_5.46","The name and batch number of the product being handled should be displayed at each packaging station or line.","Eudralex_5.46_1","The name and batch number of the product being handled should be displayed at each packaging station or line.","name,product,batch,number","displayed","LablelDisplayTask101","(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","aspirin,pakage,name,material,label","displaying","mid_8","1.0","1.0","false",
"Eudralex_5.61_1: 
Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","LablelDisplayTask101: 
(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","Eudralex_5.61","Rejected materials and products should be clearly marked as such and stored separately in restricted areas. They should either be returned to the suppliers or, where appropriate, reprocessed or destroyed. Whatever action is taken should be approved and recorded by authorised personnel.","Eudralex_5.61_1","Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","products,named","marked","LablelDisplayTask101","(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","aspirin,pakage,name,material,label","displaying","mid_9","1.0","0.392","false",
"Eudralex_5.22_2: 
The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","TankCleanTask101: 
(hasPatient =  Tank102)
 (hasAction =  CleaningIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_2","The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","materials,equipment","shown","TankCleanTask101","(hasPatient =  Tank102)
 (hasAction =  CleaningIndividual101)","tank,storage,equipment","cleaning","mid_10","1.0","0.361","false",
"Eudralex_5.22_2: 
The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","LablelDisplayTask101: 
(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_2","The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","materials,equipment","shown","LablelDisplayTask101","(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","aspirin,pakage,name,material,label","displaying","mid_11","1.0","1.0","false",
"Eudralex_5.22_2: 
The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","AllowingTask_101: 
(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_2","The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","materials,equipment","shown","AllowingTask_101","(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","material,testing,procedure,written","allowing","mid_12","1.0","0.422","false",
"Eudralex_5.22_2: 
The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","ReturningTask_101: 
(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_2","The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","materials,equipment","shown","ReturningTask_101","(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","salicylic,acid,starting,material,substance","returning","mid_13","1.0","0.784","false",
"Eudralex_5.22_2: 
The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","TransportingTask_101: 
(hasPatient =  Reactor101)
 (hasAction =  TransportingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_2","The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","materials,equipment","shown","TransportingTask_101","(hasPatient =  Reactor101)
 (hasAction =  TransportingIndividual101)","reactor,processing,equipment","transporting","mid_14","1.0","0.45","false",
"Eudralex_5.10_1: 
At every stage of processing, products and materials should be protected from microbial and other contamination.","RestrictingTask_101: 
(hasPatient =  Washing_Ce101)
 (hasAction =  RectrictingIndividual101)","Eudralex_5.10","At every stage of processing, products and materials should be protected from microbial and other contamination.","Eudralex_5.10_1","At every stage of processing, products and materials should be protected from microbial and other contamination.","processing,stage,materials,products,named","protected","RestrictingTask_101","(hasPatient =  Washing_Ce101)
 (hasAction =  RectrictingIndividual101)","washing,ce,operation","rectricting,restricting","mid_15","0.934","0.747","false",
"Eudralex_5.22_1: 
When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","IdentifyingTask_101: 
(hasPatient =  DelayingProcedure)
 (hasAction =  IdentifingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_1","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","steps,preparation,method,new,manufacturing,formula","taken,named","IdentifyingTask_101","(hasPatient =  DelayingProcedure)
 (hasAction =  IdentifingIndividual101)","delaying,procedure,standard,operating,written","identifing,identifying","mid_16","0.846","1.0","false",
"Eudralex_5.22_1: 
When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","WritingTask_101: 
(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_1","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","steps,preparation,method,new,manufacturing,formula","taken,named","WritingTask_101","(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","yield,deviation,report","writing","mid_17","0.836","0.692","false",
"Eudralex_5.22_1: 
When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","ReinforcingTask_101: 
(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_1","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","steps,preparation,method,new,manufacturing,formula","taken,named","ReinforcingTask_101","(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","drying,d,operation","reinforcing","mid_18","0.773","0.343","false",
"Eudralex_5.22_1: 
When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","RestrictingTask_101: 
(hasPatient =  Washing_Ce101)
 (hasAction =  RectrictingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_1","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","steps,preparation,method,new,manufacturing,formula","taken,named","RestrictingTask_101","(hasPatient =  Washing_Ce101)
 (hasAction =  RectrictingIndividual101)","washing,ce,operation","rectricting,restricting","mid_19","0.773","0.36","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","TankInvestigationTask101: 
(hasPatient =  Tank101)
 (hasAction =  InvestigatingIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","TankInvestigationTask101","(hasPatient =  Tank101)
 (hasAction =  InvestigatingIndividual101)","tank,storage,equipment","investigating","mid_20","0.759","0.812","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","TankCleanTask101: 
(hasPatient =  Tank102)
 (hasAction =  CleaningIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","TankCleanTask101","(hasPatient =  Tank102)
 (hasAction =  CleaningIndividual101)","tank,storage,equipment","cleaning","mid_21","0.759","0.352","false",
"Eudralex_5.46_1: 
The name and batch number of the product being handled should be displayed at each packaging station or line.","AllowingTask_101: 
(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","Eudralex_5.46","The name and batch number of the product being handled should be displayed at each packaging station or line.","Eudralex_5.46_1","The name and batch number of the product being handled should be displayed at each packaging station or line.","name,product,batch,number","displayed","AllowingTask_101","(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","material,testing,procedure,written","allowing","mid_22","0.737","0.317","false",
"Eudralex_5.46_1: 
The name and batch number of the product being handled should be displayed at each packaging station or line.","ReturningTask_101: 
(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","Eudralex_5.46","The name and batch number of the product being handled should be displayed at each packaging station or line.","Eudralex_5.46_1","The name and batch number of the product being handled should be displayed at each packaging station or line.","name,product,batch,number","displayed","ReturningTask_101","(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","salicylic,acid,starting,material,substance","returning","mid_23","0.737","0.528","false",
"Eudralex_5.61_1: 
Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","AllowingTask_101: 
(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","Eudralex_5.61","Rejected materials and products should be clearly marked as such and stored separately in restricted areas. They should either be returned to the suppliers or, where appropriate, reprocessed or destroyed. Whatever action is taken should be approved and recorded by authorised personnel.","Eudralex_5.61_1","Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","products,named","marked","AllowingTask_101","(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","material,testing,procedure,written","allowing","mid_24","0.737","0.438","false",
"Eudralex_5.61_1: 
Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","ReturningTask_101: 
(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","Eudralex_5.61","Rejected materials and products should be clearly marked as such and stored separately in restricted areas. They should either be returned to the suppliers or, where appropriate, reprocessed or destroyed. Whatever action is taken should be approved and recorded by authorised personnel.","Eudralex_5.61_1","Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","products,named","marked","ReturningTask_101","(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","salicylic,acid,starting,material,substance","returning","mid_25","0.737","0.377","false",
"Eudralex_5.60_1: 
After release, finished products should be stored as usable stock under conditions established by the manufacture","DeviationRecordTask101: 
(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","Eudralex_5.60","After release, finished products should be stored as usable stock under conditions established by the manufacturer","Eudralex_5.60_1","After release, finished products should be stored as usable stock under conditions established by the manufacture","products,named,release","stored","DeviationRecordTask101","(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","deviation,iregular,incidence","recording","mid_26","0.736","0.806","false",
"Eudralex_5.60_1: 
After release, finished products should be stored as usable stock under conditions established by the manufacture","WritingTask_101: 
(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","Eudralex_5.60","After release, finished products should be stored as usable stock under conditions established by the manufacturer","Eudralex_5.60_1","After release, finished products should be stored as usable stock under conditions established by the manufacture","products,named,release","stored","WritingTask_101","(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","yield,deviation,report","writing","mid_27","0.736","0.665","false",
"Eudralex_5.46_1: 
The name and batch number of the product being handled should be displayed at each packaging station or line.","WritingTask_101: 
(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","Eudralex_5.46","The name and batch number of the product being handled should be displayed at each packaging station or line.","Eudralex_5.46_1","The name and batch number of the product being handled should be displayed at each packaging station or line.","name,product,batch,number","displayed","WritingTask_101","(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","yield,deviation,report","writing","mid_28","0.725","0.29","false",
"Eudralex_5.61_1: 
Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","WritingTask_101: 
(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","Eudralex_5.61","Rejected materials and products should be clearly marked as such and stored separately in restricted areas. They should either be returned to the suppliers or, where appropriate, reprocessed or destroyed. Whatever action is taken should be approved and recorded by authorised personnel.","Eudralex_5.61_1","Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","products,named","marked","WritingTask_101","(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","yield,deviation,report","writing","mid_29","0.725","0.95","false",
"Eudralex_5.27_1: 
For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","TankInvestigationTask101: 
(hasPatient =  Tank101)
 (hasAction =  InvestigatingIndividual101)","Eudralex_5.27","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","Eudralex_5.27_1","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","containers,delivery","checked,named","TankInvestigationTask101","(hasPatient =  Tank101)
 (hasAction =  InvestigatingIndividual101)","tank,storage,equipment","investigating","mid_30","0.716","0.812","false",
"Eudralex_5.27_1: 
For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","TankCleanTask101: 
(hasPatient =  Tank102)
 (hasAction =  CleaningIndividual101)","Eudralex_5.27","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","Eudralex_5.27_1","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","containers,delivery","checked,named","TankCleanTask101","(hasPatient =  Tank102)
 (hasAction =  CleaningIndividual101)","tank,storage,equipment","cleaning","mid_31","0.716","0.352","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","WritingTask_101: 
(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","WritingTask_101","(hasPatient =  YieldDeviationReport_6)
 (hasAction =  WritingIndividual101)","yield,deviation,report","writing","mid_32","0.686","0.765","false",
"Eudralex_5.39_1: 
Any significant deviation from the expected yield should be recorded and investigate","ReturningTask_101: 
(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","Eudralex_5.39","Any significant deviation from the expected yield should be recorded and investigated","Eudralex_5.39_1","Any significant deviation from the expected yield should be recorded and investigate","significant,deviation,yield","recorded","ReturningTask_101","(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","salicylic,acid,starting,material,substance","returning","mid_33","0.655","0.375","false",
"Eudralex_5.46_1: 
The name and batch number of the product being handled should be displayed at each packaging station or line.","ReinforcingTask_101: 
(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","Eudralex_5.46","The name and batch number of the product being handled should be displayed at each packaging station or line.","Eudralex_5.46_1","The name and batch number of the product being handled should be displayed at each packaging station or line.","name,product,batch,number","displayed","ReinforcingTask_101","(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","drying,d,operation","reinforcing","mid_34","0.654","0.25","false",
